hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 240.126, -29.9988, 0, 0, 0.351006, -41.4772, 0.351006, 138.523
0, 600.00000, 240.082, -30.0074, 0, 0, 2.5034, -41.4857, 2.5034, 138.514
0, 900.00000, 240.13, -30.0014, 0, 0, 1.32157, -41.4798, 1.32157, 138.52
0, 1200.00000, 240.091, -30.002, 0, 0, 1.76378, -41.4804, 1.76378, 138.52
0, 1500.00000, 240.049, -30.0042, 0, 0, 1.82871, -41.4825, 1.82871, 138.518
0, 1800.00000, 240.05, -30.0024, 0, 0, 1.45803, -41.4807, 1.45803, 138.519
0, 2100.00000, 240.052, -30.0047, 0, 0, 1.62805, -41.483, 1.62805, 138.517
0, 2400.00000, 240.058, -30.0055, 0, 0, 1.64756, -41.4838, 1.64756, 138.516
0, 2700.00000, 239.949, -30.003, 0, 0, 3.02956, -41.4814, 3.02956, 138.519
0, 3000.00000, 240.001, -30.0094, 0, 0, 2.08333, -41.4877, 2.08333, 138.512
0, 3300.00000, 240.064, -30.0058, 0, 0, 0.22528, -41.4842, 0.22528, 138.516
1, 0.00000, 240.085, -30.0058, 0, 0, 0.22526, -41.4841, 0.22526, 138.516
1, 300.00000, 240.121, -29.9995, 0, 0, 0.225227, -41.4779, 0.225227, 138.522
1, 600.00000, 240.127, -30.0028, 0, 0, 0.225221, -41.4811, 0.225221, 138.519
1, 900.00000, 240.108, -30.004, 0, 0, 0.225239, -41.4823, 0.225239, 138.518
1, 1200.00000, 240.247, -29.9764, 0, 0, 0.225108, -41.4547, 0.225108, 138.545
1, 1500.00000, 240.107, -30.0032, 0, 0, 0.225238, -41.4813, 0.225238, 138.519
1, 1800.00000, 240.087, -30.0008, 0, 0, 0.225258, -41.4792, 0.225258, 138.521
1, 2100.00000, 240.081, -29.9983, 0, 0, 0.225264, -41.4767, 0.225264, 138.523
1, 2400.00000, 240.054, -29.9963, 0, 0, 0.22529, -41.4746, 0.22529, 138.525
1, 2700.00000, 240.055, -29.9947, 0, 0, 0.225289, -41.473, 0.225289, 138.527
1, 3000.00000, 240.047, -29.9956, 0, 0, 0.225296, -41.4739, 0.225296, 138.526
1, 3300.00000, 240.044, -29.9937, 0, 0, 0.392785, -41.472, 0.392785, 138.528
2, 0.00000, 240.026, -29.9958, 0, 0, 1.06281, -41.4741, 1.06281, 138.526
2, 300.00000, 240.034, -30.0032, 0, 0, 1.06278, -41.4815, 1.06278, 138.518
2, 600.00000, 240.071, -30.0024, 0, 0, 1.06261, -41.4808, 1.06261, 138.519
2, 900.00000, 240.065, -30.0016, 0, 0, 1.06264, -41.4799, 1.06264, 138.52
2, 1200.00000, 240.072, -30.0027, 0, 0, 0.392739, -41.4811, 0.392739, 138.519
2, 1500.00000, 240.087, -30.0031, 0, 0, 0.225258, -41.4814, 0.225258, 138.519
2, 1800.00000, 240.094, -30.0108, 0, 0, 0.225252, -41.4891, 0.225252, 138.511
2, 2100.00000, 240.061, -30.0029, 0, 0, 0.225282, -41.4812, 0.225282, 138.519
2, 2400.00000, 240.074, -30.0021, 0, 0, 0.225271, -41.4805, 0.225271, 138.52
2, 2700.00000, 240.101, -29.9988, 0, 0, 0.225245, -41.4772, 0.225245, 138.523
2, 3000.00000, 240.069, -29.9988, 0, 0, 0.225275, -41.4771, 0.225275, 138.523
2, 3300.00000, 240.036, -29.9975, 0, 0, 0.225306, -41.4759, 0.225306, 138.524
3, 0.00000, 240.025, -29.9973, 0, 0, 0.225317, -41.4757, 0.225317, 138.524
3, 300.00000, 239.997, -30.0042, 0, 0, 0.225343, -41.4825, 0.225343, 138.518
3, 600.00000, 239.995, -30.0046, 0, 0, 0.225345, -41.483, 0.225345, 138.517
3, 900.00000, 240.055, -30.004, 0, 0, 0.225289, -41.4823, 0.225289, 138.518
3, 1200.00000, 240.094, -30.0052, 0, 0, 0.225252, -41.4836, 0.225252, 138.516
3, 1500.00000, 240.085, -30.0036, 0, 0, 0.560175, -41.4819, 0.560175, 138.518
3, 1800.00000, 240.031, -30.0059, 0, 0, 1.06279, -41.4842, 1.06279, 138.516
3, 2100.00000, 240.011, -30.0094, 0, 0, 1.06288, -41.4877, 1.06288, 138.512
3, 2400.00000, 240.017, -30.0066, 0, 0, 1.06285, -41.485, 1.06285, 138.515
3, 2700.00000, 240.028, -30.0054, 0, 0, 1.0628, -41.4838, 1.0628, 138.516
3, 3000.00000, 240.06, -30.0051, 0, 0, 0.225284, -41.4835, 0.225284, 138.517
3, 3300.00000, 240.072, -30.0048, 0, 0, 0.225273, -41.4832, 0.225273, 138.517
4, 0.00000, 240.066, -30.0045, 0, 0, 0.225278, -41.4828, 0.225278, 138.517
4, 300.00000, 240.007, -30.0065, 0, 0, 0.225334, -41.4848, 0.225334, 138.515
4, 600.00000, 240.014, -30.0042, 0, 0, 0.225327, -41.4825, 0.225327, 138.517
