hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 239.99, -29.9856, 0, 0, 0.153067, -41.4639, 0.153067, 138.536
0, 600.00000, 240.103, -30.0341, 0, 0, 0.152996, -41.5121, 0.152996, 138.488
0, 900.00000, 240.174, -30.0097, 0, 0, 0.233674, -41.4882, 0.233674, 138.512
0, 1200.00000, 240.07, -30.0081, 0, 0, 0.556809, -41.4864, 0.556809, 138.514
0, 1500.00000, 239.929, -30.0055, 0, 0, 0.557135, -41.4838, 0.557135, 138.516
0, 1800.00000, 239.85, -29.9974, 0, 0, 0.557321, -41.4758, 0.557321, 138.524
0, 2100.00000, 239.906, -30.0213, 0, 0, 0.31475, -41.4995, 0.31475, 138.501
0, 2400.00000, 239.961, -30.0317, 0, 0, 0.153086, -41.51, 0.153086, 138.49
0, 2700.00000, 239.739, -29.9861, 0, 0, 0.153227, -41.4646, 0.153227, 138.535
0, 3000.00000, 239.927, -30.0301, 0, 0, 0.153108, -41.5082, 0.153108, 138.492
0, 3300.00000, 239.918, -30.0066, 0, 0, 0.153114, -41.485, 0.153114, 138.515
1, 0.00000, 239.952, -30.0034, 0, 0, 0.153092, -41.4817, 0.153092, 138.518
1, 300.00000, 239.95, -29.9753, 0, 0, 0.153094, -41.4538, 0.153094, 138.546
1, 600.00000, 239.926, -29.9944, 0, 0, 0.153108, -41.4726, 0.153108, 138.527
1, 900.00000, 239.802, -29.9954, 0, 0, 0.153187, -41.4738, 0.153187, 138.526
1, 1200.00000, 240.636, -29.7949, 0, 0, 0.152657, -41.2734, 0.152657, 138.727
1, 1500.00000, 239.842, -29.9983, 0, 0, 0.557323, -41.4755, 0.557323, 138.525
1, 1800.00000, 239.748, -29.9849, 0, 0, 0.557557, -41.4633, 0.557557, 138.537
1, 2100.00000, 239.75, -29.9695, 0, 0, 0.557554, -41.4479, 0.557554, 138.552
1, 2400.00000, 239.706, -29.9565, 0, 0, 0.395892, -41.435, 0.395892, 138.565
1, 2700.00000, 239.759, -29.9478, 0, 0, 0.153216, -41.4262, 0.153216, 138.574
1, 3000.00000, 239.838, -29.9459, 0, 0, 0.153165, -41.4243, 0.153165, 138.576
1, 3300.00000, 239.832, -29.9343, 0, 0, 0.153168, -41.4126, 0.153168, 138.587
2, 0.00000, 239.763, -29.9462, 0, 0, 0.153212, -41.4244, 0.153212, 138.576
2, 300.00000, 239.706, -29.999, 0, 0, 0.153249, -41.4772, 0.153249, 138.523
2, 600.00000, 239.786, -29.9975, 0, 0, 0.153198, -41.4758, 0.153198, 138.524
2, 900.00000, 239.756, -29.9912, 0, 0, 0.153217, -41.4696, 0.153217, 138.53
