hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 239.658, -150.002, 0, 0, 0.221404, -161.48, 0.221404, 18.5196
0, 600.00000, 239.614, -149.952, 0, 0, 0.221445, -161.431, 0.221445, 18.5691
0, 900.00000, 239.357, -149.958, 0, 0, 0.22168, -161.436, 0.22168, 18.5639
0, 1200.00000, 239.396, -149.968, 0, 0, 0.221647, -161.447, 0.221647, 18.5533
0, 1500.00000, 239.419, -149.985, 0, 0, 0.221626, -161.463, 0.221626, 18.5369
0, 1800.00000, 239.347, -149.999, 0, 0, 0.221691, -161.478, 0.221691, 18.5224
0, 2100.00000, 239.357, -149.979, 0, 0, 0.221683, -161.457, 0.221683, 18.543
0, 2400.00000, 239.202, -149.959, 0, 0, 0.221825, -161.437, 0.221825, 18.563
0, 2700.00000, 239.251, -150.014, 0, 0, 0.221781, -161.493, 0.221781, 18.5075
0, 3000.00000, 239.31, -149.959, 0, 0, 0.652389, -161.438, 0.652389, 18.562
0, 3300.00000, 239.26, -149.976, 0, 0, 0.65252, -161.455, 0.65252, 18.5453
1, 0.00000, 239.193, -149.976, 0, 0, 0.652704, -161.454, 0.652704, 18.5461
1, 300.00000, 239.072, -149.993, 0, 0, 0.480596, -161.472, 0.480596, 18.5285
1, 600.00000, 239.269, -149.988, 0, 0, 0.221765, -161.466, 0.221765, 18.5336
1, 900.00000, 239.29, -150, 0, 0, 0.221745, -161.478, 0.221745, 18.5217
1, 1200.00000, 235.959, -149.95, 0, 0, 0.224873, -161.429, 0.224873, 18.5714
1, 1500.00000, 239.326, -149.992, 0, 0, 0.221731, -161.47, 0.221731, 18.5295
1, 1800.00000, 239.264, -150.008, 0, 0, 0.221768, -161.487, 0.221768, 18.5134
1, 2100.00000, 239.091, -150.014, 0, 0, 0.221928, -161.492, 0.221928, 18.508
1, 2400.00000, 238.938, -150.022, 0, 0, 0.22207, -161.5, 0.22207, 18.4997
1, 2700.00000, 238.816, -150.022, 0, 0, 0.222183, -161.5, 0.222183, 18.5001
1, 3000.00000, 238.688, -150.009, 0, 0, 0.308658, -161.487, 0.308658, 18.5126
1, 3300.00000, 238.743, -150.02, 0, 0, 0.653934, -161.499, 0.653934, 18.5012
2, 0.00000, 239.053, -150.034, 0, 0, 0.653094, -161.512, 0.653094, 18.488
2, 300.00000, 239.706, -150.024, 0, 0, 0.651316, -161.503, 0.651316, 18.4973
2, 600.00000, 239.683, -150.02, 0, 0, 0.393376, -161.498, 0.393376, 18.5018
2, 900.00000, 239.659, -150.026, 0, 0, 0.221403, -161.505, 0.221403, 18.4953
2, 1200.00000, 239.663, -150.033, 0, 0, 0.221399, -161.512, 0.221399, 18.4884
2, 1500.00000, 239.631, -150.031, 0, 0, 0.221429, -161.509, 0.221429, 18.4908
2, 1800.00000, 239.679, -149.996, 0, 0, 0.221386, -161.475, 0.221386, 18.5251
2, 2100.00000, 239.711, -150.035, 0, 0, 0.221355, -161.513, 0.221355, 18.4868
2, 2400.00000, 239.692, -150.026, 0, 0, 0.221372, -161.504, 0.221372, 18.4958
