hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 240.062, -29.984, 0, 0, 0.182776, -41.4624, 0.182776, 138.538
0, 600.00000, 240.143, -30.0177, 0, 0, 0.182715, -41.4959, 0.182715, 138.504
0, 900.00000, 240.209, -29.9961, 0, 0, 0.182664, -41.4746, 0.182664, 138.525
0, 1200.00000, 240.135, -29.9959, 0, 0, 0.18272, -41.4743, 0.18272, 138.526
0, 1500.00000, 240.006, -30.0002, 0, 0, 0.182818, -41.4785, 0.182818, 138.521
0, 1800.00000, 239.965, -29.9936, 0, 0, 0.182849, -41.472, 0.182849, 138.528
0, 2100.00000, 239.952, -30.009, 0, 0, 0.874326, -41.4873, 0.874326, 138.513
0, 2400.00000, 239.973, -30.0067, 0, 0, 1.44574, -41.485, 1.44574, 138.515
0, 2700.00000, 239.779, -29.9923, 0, 0, 1.4469, -41.4707, 1.4469, 138.529
0, 3000.00000, 239.891, -30.0145, 0, 0, 1.44624, -41.4927, 1.44624, 138.507
0, 3300.00000, 239.934, -29.9998, 0, 0, 0.834412, -41.4782, 0.834412, 138.522
1, 0.00000, 240.012, -30.0015, 0, 0, 0.182814, -41.4798, 0.182814, 138.52
1, 300.00000, 240.042, -29.9812, 0, 0, 0.182792, -41.4596, 0.182792, 138.54
1, 600.00000, 240.049, -29.9943, 0, 0, 0.182786, -41.4725, 0.182786, 138.527
1, 900.00000, 239.988, -29.9959, 0, 0, 0.182832, -41.4743, 0.182832, 138.526
1, 1200.00000, 240.446, -29.8877, 0, 0, 0.182484, -41.3661, 0.182484, 138.634
1, 1500.00000, 239.984, -29.9952, 0, 0, 0.182831, -41.4728, 0.182831, 138.527
1, 1800.00000, 239.916, -29.9855, 0, 0, 0.182887, -41.4638, 0.182887, 138.536
1, 2100.00000, 239.886, -29.977, 0, 0, 0.18291, -41.4554, 0.18291, 138.545
1, 2400.00000, 239.847, -29.9669, 0, 0, 0.18294, -41.4453, 0.18294, 138.555
1, 2700.00000, 239.849, -29.9593, 0, 0, 0.914693, -41.4377, 0.914693, 138.562
1, 3000.00000, 239.867, -29.9606, 0, 0, 1.44638, -41.4389, 1.44638, 138.561
1, 3300.00000, 239.868, -29.9556, 0, 0, 1.44637, -41.434, 1.44637, 138.566
2, 0.00000, 239.826, -29.966, 0, 0, 1.44662, -41.4442, 1.44662, 138.556
2, 300.00000, 239.837, -29.9973, 0, 0, 0.794756, -41.4755, 0.794756, 138.524
2, 600.00000, 239.935, -29.9961, 0, 0, 0.182873, -41.4745, 0.182873, 138.526
2, 900.00000, 239.915, -29.9913, 0, 0, 0.182888, -41.4697, 0.182888, 138.53
2, 1200.00000, 239.876, -29.9933, 0, 0, 0.182917, -41.4717, 0.182917, 138.528
2, 1500.00000, 239.911, -29.9953, 0, 0, 0.182891, -41.4736, 0.182891, 138.526
2, 1800.00000, 239.952, -30.0234, 0, 0, 0.18286, -41.5015, 0.18286, 138.498
2, 2100.00000, 239.836, -29.9946, 0, 0, 0.182948, -41.473, 0.182948, 138.527
2, 2400.00000, 239.873, -29.9943, 0, 0, 0.18292, -41.4726, 0.18292, 138.527
2, 2700.00000, 239.955, -29.985, 0, 0, 0.182858, -41.4634, 0.182858, 138.537
2, 3000.00000, 239.854, -29.9818, 0, 0, 0.182934, -41.4602, 0.182934, 138.54
2, 3300.00000, 239.771, -29.9751, 0, 0, 0.329395, -41.4534, 0.329395, 138.547
3, 0.00000, 239.737, -29.973, 0, 0, 0.915117, -41.4513, 0.915117, 138.549
3, 300.00000, 239.686, -29.9894, 0, 0, 0.91531, -41.4677, 0.91531, 138.532
3, 600.00000, 239.674, -29.9912, 0, 0, 0.915359, -41.4695, 0.915359, 138.53
3, 900.00000, 239.823, -29.9927, 0, 0, 0.914793, -41.471, 0.914793, 138.529
3, 1200.00000, 239.953, -30.0012, 0, 0, 0.329146, -41.4795, 0.329146, 138.52
3, 1500.00000, 239.961, -29.9955, 0, 0, 0.182853, -41.4739, 0.182853, 138.526
3, 1800.00000, 239.834, -30.0003, 0, 0, 0.182949, -41.4786, 0.182949, 138.521
3, 2100.00000, 239.769, -30.0126, 0, 0, 0.182999, -41.4909, 0.182999, 138.509
3, 2400.00000, 239.79, -30.003, 0, 0, 0.182983, -41.4814, 0.182983, 138.519
3, 2700.00000, 239.826, -30, 0, 0, 0.182956, -41.4783, 0.182956, 138.522
3, 3000.00000, 239.907, -30.0001, 0, 0, 0.182895, -41.4784, 0.182895, 138.522
3, 3300.00000, 239.945, -29.9984, 0, 0, 0.182865, -41.4767, 0.182865, 138.523
4, 0.00000, 239.943, -29.999, 0, 0, 0.182866, -41.4774, 0.182866, 138.523
4, 300.00000, 239.748, -30.0039, 0, 0, 0.915071, -41.4822, 0.915071, 138.518
4, 600.00000, 239.717, -29.995, 0, 0, 1.44728, -41.4734, 1.44728, 138.527
4, 900.00000, 239.747, -29.9925, 0, 0, 1.44711, -41.4708, 1.44711, 138.529
4, 1200.00000, 239.765, -29.9835, 0, 0, 1.447, -41.4619, 1.447, 138.538
4, 1500.00000, 239.949, -29.9873, 0, 0, 0.794389, -41.4656, 0.794389, 138.534
4, 1800.00000, 239.988, -29.9837, 0, 0, 0.182833, -41.462, 0.182833, 138.538
4, 2100.00000, 239.939, -29.9797, 0, 0, 0.18287, -41.458, 0.18287, 138.542
4, 2400.00000, 240.027, -29.9752, 0, 0, 0.182803, -41.4535, 0.182803, 138.546
4, 2700.00000, 240.074, -29.9743, 0, 0, 0.182767, -41.4527, 0.182767, 138.547
4, 3000.00000, 240.043, -29.9803, 0, 0, 0.18279, -41.4587, 0.18279, 138.541
4, 3300.00000, 240.141, -29.9844, 0, 0, 0.182716, -41.4627, 0.182716, 138.537
