hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 239.735, -150.009, 0, 0, 0.174512, -161.487, 0.174512, 18.5131
0, 600.00000, 239.702, -149.963, 0, 0, 0.174537, -161.441, 0.174537, 18.5585
0, 900.00000, 239.471, -149.965, 0, 0, 0.303388, -161.443, 0.303388, 18.5567
0, 1200.00000, 239.461, -149.975, 0, 0, 0.818163, -161.453, 0.818163, 18.5469
0, 1500.00000, 239.593, -149.994, 0, 0, 0.817715, -161.472, 0.817715, 18.5275
0, 1800.00000, 239.526, -150.003, 0, 0, 0.817942, -161.482, 0.817942, 18.5183
0, 2100.00000, 239.577, -149.991, 0, 0, 0.689142, -161.469, 0.689142, 18.5305
0, 2400.00000, 239.46, -149.98, 0, 0, 0.174712, -161.459, 0.174712, 18.5412
0, 2700.00000, 239.59, -150.024, 0, 0, 0.174618, -161.502, 0.174618, 18.4977
0, 3000.00000, 239.609, -149.988, 0, 0, 0.174605, -161.466, 0.174605, 18.5336
0, 3300.00000, 239.548, -149.997, 0, 0, 0.174648, -161.476, 0.174648, 18.5243
1, 0.00000, 239.491, -149.986, 0, 0, 0.17469, -161.465, 0.17469, 18.5354
1, 300.00000, 239.382, -149.998, 0, 0, 0.174769, -161.477, 0.174769, 18.5234
1, 600.00000, 239.51, -149.992, 0, 0, 0.174677, -161.471, 0.174677, 18.5295
1, 900.00000, 239.501, -149.998, 0, 0, 0.174683, -161.476, 0.174683, 18.5236
1, 1200.00000, 237.603, -149.974, 0, 0, 0.176078, -161.452, 0.176078, 18.5475
1, 1500.00000, 239.509, -150.001, 0, 0, 0.437997, -161.479, 0.437997, 18.5206
1, 1800.00000, 239.452, -150.015, 0, 0, 0.613644, -161.493, 0.613644, 18.5072
1, 2100.00000, 239.392, -150.025, 0, 0, 1.35462, -161.503, 1.35462, 18.4969
1, 2400.00000, 239.222, -150.032, 0, 0, 2.14555, -161.511, 2.14555, 18.4895
1, 2700.00000, 239.128, -150.029, 0, 0, 1.70688, -161.508, 1.70688, 18.4922
1, 3000.00000, 239.058, -150.021, 0, 0, 1.70737, -161.5, 1.70737, 18.5003
1, 3300.00000, 239.064, -150.03, 0, 0, 1.32063, -161.508, 1.32063, 18.4917
2, 0.00000, 239.355, -150.038, 0, 0, 0.174791, -161.516, 0.174791, 18.4837
2, 300.00000, 239.791, -150.027, 0, 0, 0.174474, -161.505, 0.174474, 18.4949
2, 600.00000, 239.74, -150.016, 0, 0, 0.174508, -161.494, 0.174508, 18.506
2, 900.00000, 239.714, -150.02, 0, 0, 0.174528, -161.499, 0.174528, 18.5014
2, 1200.00000, 239.696, -150.021, 0, 0, 0.174541, -161.5, 0.174541, 18.5004
