hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 239.993, -29.9854, 0, 0, 0.14031, -41.4637, 0.14031, 138.536
0, 600.00000, 240.11, -30.0349, 0, 0, 0.140242, -41.5128, 0.140242, 138.487
0, 900.00000, 240.181, -30.0054, 0, 0, 0.140201, -41.484, 0.140201, 138.516
0, 1200.00000, 240.082, -30.0045, 0, 0, 0.140258, -41.4829, 0.140258, 138.517
0, 1500.00000, 239.944, -29.9972, 0, 0, 0.308745, -41.4755, 0.308745, 138.524
0, 1800.00000, 239.809, -29.9872, 0, 0, 0.982923, -41.4656, 0.982923, 138.534
0, 2100.00000, 239.873, -30.009, 0, 0, 0.982665, -41.4872, 0.982665, 138.513
0, 2400.00000, 239.928, -30.0186, 0, 0, 0.982442, -41.4969, 0.982442, 138.503
0, 2700.00000, 239.708, -29.9724, 0, 0, 0.983335, -41.4509, 0.983335, 138.549
0, 3000.00000, 239.956, -30.02, 0, 0, 0.308731, -41.498, 0.308731, 138.502
0, 3300.00000, 239.944, -29.9967, 0, 0, 0.140339, -41.4752, 0.140339, 138.525
1, 0.00000, 239.962, -29.9925, 0, 0, 0.140328, -41.4708, 0.140328, 138.529
1, 300.00000, 239.96, -29.963, 0, 0, 0.140329, -41.4415, 0.140329, 138.559
1, 600.00000, 239.927, -29.9852, 0, 0, 0.140349, -41.4634, 0.140349, 138.537
1, 900.00000, 239.778, -29.9863, 0, 0, 0.140436, -41.4647, 0.140436, 138.535
1, 1200.00000, 240.811, -29.7274, 0, 0, 0.139834, -41.2058, 0.139834, 138.794
1, 1500.00000, 239.832, -29.9919, 0, 0, 0.140399, -41.4689, 0.140399, 138.531
1, 1800.00000, 239.743, -29.9781, 0, 0, 0.140456, -41.4565, 0.140456, 138.543
1, 2100.00000, 239.772, -29.9576, 0, 0, 0.14044, -41.436, 0.14044, 138.564
1, 2400.00000, 239.734, -29.9431, 0, 0, 0.47757, -41.4216, 0.47757, 138.578
1, 2700.00000, 239.736, -29.9342, 0, 0, 0.983227, -41.4126, 0.983227, 138.587
1, 3000.00000, 239.825, -29.9319, 0, 0, 0.982861, -41.4103, 0.982861, 138.59
1, 3300.00000, 239.817, -29.9232, 0, 0, 0.982894, -41.4016, 0.982894, 138.598
2, 0.00000, 239.728, -29.9347, 0, 0, 0.983253, -41.4129, 0.983253, 138.587
2, 300.00000, 239.651, -29.9958, 0, 0, 0.767269, -41.4739, 0.767269, 138.526
2, 600.00000, 239.706, -29.9936, 0, 0, 0.923754, -41.4719, 0.923754, 138.528
2, 900.00000, 239.669, -29.9872, 0, 0, 0.923891, -41.4655, 0.923891, 138.534
2, 1200.00000, 239.543, -29.9914, 0, 0, 0.924378, -41.4697, 0.924378, 138.53
2, 1500.00000, 239.575, -29.9897, 0, 0, 0.297295, -41.468, 0.297295, 138.532
2, 1800.00000, 239.695, -30.0236, 0, 0, 0.140485, -41.5016, 0.140485, 138.498
2, 2100.00000, 239.552, -29.9921, 0, 0, 0.140568, -41.4706, 0.140568, 138.529
2, 2400.00000, 239.675, -29.9902, 0, 0, 0.140497, -41.4686, 0.140497, 138.531
2, 2700.00000, 239.862, -29.9812, 0, 0, 0.140387, -41.4596, 0.140387, 138.54
2, 3000.00000, 239.716, -29.9787, 0, 0, 0.140472, -41.457, 0.140472, 138.543
2, 3300.00000, 239.604, -29.9693, 0, 0, 0.140538, -41.4477, 0.140538, 138.552
3, 0.00000, 239.611, -29.9611, 0, 0, 0.140534, -41.4394, 0.140534, 138.561
3, 300.00000, 239.563, -29.975, 0, 0, 0.140562, -41.4532, 0.140562, 138.547
3, 600.00000, 239.531, -29.9779, 0, 0, 0.140581, -41.4562, 0.140581, 138.544
3, 900.00000, 239.706, -29.9834, 0, 0, 0.140479, -41.4618, 0.140479, 138.538
3, 1200.00000, 239.848, -30.0031, 0, 0, 0.140395, -41.4813, 0.140395, 138.519
3, 1500.00000, 239.847, -29.9926, 0, 0, 0.296959, -41.471, 0.296959, 138.529
3, 1800.00000, 239.577, -29.9972, 0, 0, 0.924243, -41.4755, 0.924243, 138.524
3, 2100.00000, 239.407, -30.0137, 0, 0, 1.76882, -41.4919, 1.76882, 138.508
3, 2400.00000, 239.478, -29.995, 0, 0, 1.76831, -41.4734, 1.76831, 138.527
3, 2700.00000, 239.522, -29.9917, 0, 0, 1.6112, -41.4701, 1.6112, 138.53
3, 3000.00000, 239.721, -29.9893, 0, 0, 0.983291, -41.4676, 0.983291, 138.532
3, 3300.00000, 239.858, -29.985, 0, 0, 0.477324, -41.4633, 0.477324, 138.537
4, 0.00000, 239.849, -29.9899, 0, 0, 0.140394, -41.4682, 0.140394, 138.532
4, 300.00000, 239.515, -29.9974, 0, 0, 0.140589, -41.4758, 0.140589, 138.524
4, 600.00000, 239.508, -29.9833, 0, 0, 0.140594, -41.4617, 0.140594, 138.538
4, 900.00000, 239.561, -29.9813, 0, 0, 0.140564, -41.4597, 0.140564, 138.54
4, 1200.00000, 239.608, -29.9659, 0, 0, 0.140536, -41.4443, 0.140536, 138.556
4, 1500.00000, 239.919, -29.9758, 0, 0, 0.140354, -41.4541, 0.140354, 138.546
4, 1800.00000, 239.961, -29.9782, 0, 0, 0.140329, -41.4566, 0.140329, 138.543
4, 2100.00000, 239.78, -29.9711, 0, 0, 0.923463, -41.4494, 0.923463, 138.551
4, 2400.00000, 239.89, -29.965, 0, 0, 0.923044, -41.4433, 0.923044, 138.557
4, 2700.00000, 239.938, -29.9547, 0, 0, 1.25968, -41.433, 1.25968, 138.567
4, 3000.00000, 239.805, -29.9596, 0, 0, 1.76589, -41.4379, 1.76589, 138.562
4, 3300.00000, 240.071, -29.9663, 0, 0, 0.981855, -41.4446, 0.981855, 138.555
5, 0.00000, 240.182, -29.9474, 0, 0, 0.9814, -41.4258, 0.9814, 138.574
5, 300.00000, 240.123, -29.9577, 0, 0, 0.981637, -41.436, 0.981637, 138.564
5, 600.00000, 240.38, -29.9554, 0, 0, 0.140085, -41.4337, 0.140085, 138.566
5, 900.00000, 240.471, -29.9558, 0, 0, 0.140031, -41.4341, 0.140031, 138.566
5, 1200.00000, 240.5, -29.9769, 0, 0, 0.140015, -41.4552, 0.140015, 138.545
5, 1500.00000, 240.579, -29.9779, 0, 0, 0.139968, -41.4562, 0.139968, 138.544
5, 1800.00000, 240.781, -29.9642, 0, 0, 0.139851, -41.4426, 0.139851, 138.557
5, 2100.00000, 241.323, -29.9424, 0, 0, 0.139536, -41.4207, 0.139536, 138.579
5, 2400.00000, 241.412, -29.9305, 0, 0, 0.139485, -41.4089, 0.139485, 138.591
5, 2700.00000, 240.874, -29.9443, 0, 0, 0.139797, -41.4228, 0.139797, 138.577
5, 3000.00000, 241.095, -29.9993, 0, 0, 0.307272, -41.4771, 0.307272, 138.523
5, 3300.00000, 240.685, -29.9145, 0, 0, 1.31851, -41.3933, 1.31851, 138.607
6, 0.00000, 239.647, -29.9074, 0, 0, 1.46897, -41.3865, 1.46897, 138.614
6, 300.00000, 240.254, -29.9085, 0, 0, 1.62668, -41.3869, 1.62668, 138.613
6, 600.00000, 239.896, -29.847, 0, 0, 2.08846, -41.3256, 2.08846, 138.674
6, 900.00000, 242.166, -29.799, 0, 0, 1.60373, -41.2773, 1.60373, 138.723
6, 1200.00000, 242.687, -29.8579, 0, 0, 1.38666, -41.3346, 1.38666, 138.665
6, 1500.00000, 243.376, -29.8808, 0, 0, 1.99984, -41.358, 1.99984, 138.642
6, 1800.00000, 243.717, -29.9661, 0, 0, 1.99711, -41.4431, 1.99711, 138.557
6, 2100.00000, 242.218, -30.0049, 0, 0, 0.914218, -41.4839, 0.914218, 138.516
6, 2400.00000, 241.332, -30.0098, 0, 0, 0.761939, -41.4896, 0.761939, 138.51
6, 2700.00000, 241.465, -29.9536, 0, 0, 0.139455, -41.4334, 0.139455, 138.567
6, 3000.00000, 240.027, -29.8324, 0, 0, 0.140289, -41.3119, 0.140289, 138.688
6, 3300.00000, 238.996, -29.9097, 0, 0, 0.140892, -41.3888, 0.140892, 138.611
7, 0.00000, 241.349, -29.7987, 0, 0, 0.139514, -41.2743, 0.139514, 138.726
7, 300.00000, 242.491, -29.7801, 0, 0, 0.13886, -41.2577, 0.13886, 138.742
7, 600.00000, 240.959, -29.7295, 0, 0, 0.810539, -41.2099, 0.810539, 138.79
7, 900.00000, 242.852, -29.8042, 0, 0, 0.97061, -41.2824, 0.97061, 138.718
7, 1200.00000, 244.747, -29.4859, 0, 0, 0.963099, -40.9644, 0.963099, 139.036
7, 1500.00000, 244.945, -29.8411, 0, 0, 0.962311, -41.3191, 0.962311, 138.681
7, 1800.00000, 245.504, -29.9078, 0, 0, 1.39571, -41.386, 1.39571, 138.614
7, 2100.00000, 246.927, -29.8769, 0, 0, 0.896746, -41.3552, 0.896746, 138.645
7, 2400.00000, 246.719, -30.0879, 0, 0, 0.897487, -41.5658, 0.897487, 138.434
7, 2700.00000, 243.783, -29.9445, 0, 0, 0.908299, -41.4231, 0.908299, 138.577
7, 3000.00000, 237.069, -29.8319, 0, 0, 0.14204, -41.3103, 0.14204, 138.69
7, 3300.00000, 242.315, -29.6347, 0, 0, 0.138966, -41.1129, 0.138966, 138.887
8, 0.00000, 246.782, -29.69, 0, 0, 0.136453, -41.168, 0.136453, 138.832
8, 300.00000, 247.807, -29.9539, 0, 0, 0.135886, -41.4318, 0.135886, 138.568
8, 600.00000, 247.965, -29.7163, 0, 0, 0.1358, -41.195, 0.1358, 138.805
8, 900.00000, 245.743, -29.5038, 0, 0, 0.137026, -40.9824, 0.137026, 139.018
8, 1200.00000, 242.288, -29.4919, 0, 0, 0.972857, -40.9704, 0.972857, 139.03
8, 1500.00000, 243.318, -29.6794, 0, 0, 0.968757, -41.1576, 0.968757, 138.842
8, 1800.00000, 245.02, -29.5913, 0, 0, 0.962023, -41.0695, 0.962023, 138.93
8, 2100.00000, 241.015, -29.8094, 0, 0, 0.978007, -41.2877, 0.978007, 138.712
8, 2400.00000, 238.465, -29.8887, 0, 0, 0.480111, -41.367, 0.480111, 138.633
8, 2700.00000, 244.754, -29.629, 0, 0, 0.137582, -41.1074, 0.137582, 138.893
8, 3000.00000, 248.062, -29.4616, 0, 0, 0.135748, -40.9401, 0.135748, 139.06
8, 3300.00000, 249.895, -29.6191, 0, 0, 0.134752, -41.0969, 0.134752, 138.903
9, 0.00000, 250.143, -29.6889, 0, 0, 0.134617, -41.167, 0.134617, 138.833
9, 300.00000, 249.555, -29.6599, 0, 0, 0.134933, -41.1384, 0.134933, 138.862
9, 600.00000, 247.71, -29.5698, 0, 0, 0.135937, -41.0484, 0.135937, 138.952
9, 900.00000, 249.466, -29.6578, 0, 0, 0.134985, -41.1359, 0.134985, 138.864
9, 1200.00000, 250.217, -29.5127, 0, 0, 0.134578, -40.9914, 0.134578, 139.009
9, 1500.00000, 249.486, -29.7146, 0, 0, 0.586505, -41.1924, 0.586505, 138.808
9, 1800.00000, 250.154, -29.6598, 0, 0, 1.20825, -41.138, 1.20825, 138.862
9, 2100.00000, 248.306, -29.3751, 0, 0, 1.7054, -40.8544, 1.7054, 139.146
9, 2400.00000, 247.898, -29.451, 0, 0, 1.70823, -40.9291, 1.70823, 139.071
9, 2700.00000, 248.025, -29.3895, 0, 0, 1.25316, -40.8679, 1.25316, 139.132
9, 3000.00000, 248.288, -29.5058, 0, 0, 0.94936, -40.9839, 0.94936, 139.016
9, 3300.00000, 250.952, -29.4631, 0, 0, 0.134186, -40.9412, 0.134186, 139.059
10, 0.00000, 245.408, -29.6647, 0, 0, 0.137213, -41.1431, 0.137213, 138.857
10, 300.00000, 246.797, -29.6643, 0, 0, 0.136442, -41.1425, 0.136442, 138.857
10, 600.00000, 250.889, -29.5857, 0, 0, 0.13422, -41.0635, 0.13422, 138.937
10, 900.00000, 249.351, -29.6994, 0, 0, 0.135043, -41.1777, 0.135043, 138.822
10, 1200.00000, 246.623, -30.1354, 0, 0, 0.136538, -41.6134, 0.136538, 138.387
10, 1500.00000, 244.917, -30.231, 0, 0, 0.137489, -41.7093, 0.137489, 138.291
10, 1800.00000, 252.225, -29.9606, 0, 0, 0.133505, -41.439, 0.133505, 138.561
10, 2100.00000, 252.134, -29.925, 0, 0, 0.133555, -41.4036, 0.133555, 138.596
10, 2400.00000, 247.551, -29.8773, 0, 0, 0.136024, -41.356, 0.136024, 138.644
10, 2700.00000, 253.456, -29.6633, 0, 0, 0.132866, -41.1414, 0.132866, 138.859
10, 3000.00000, 252.194, -29.7346, 0, 0, 0.13352, -41.2129, 0.13352, 138.787
10, 3300.00000, 251.04, -29.7492, 0, 0, 0.582879, -41.2276, 0.582879, 138.772
11, 0.00000, 253.157, -29.6716, 0, 0, 0.874686, -41.1498, 0.874686, 138.85
11, 300.00000, 248.302, -29.7868, 0, 0, 1.21722, -41.2653, 1.21722, 138.735
11, 600.00000, 240.18, -29.9312, 0, 0, 1.76314, -41.4096, 1.76314, 138.59
11, 900.00000, 238.179, -29.864, 0, 0, 1.30487, -41.3435, 1.30487, 138.656
11, 1200.00000, 247.364, -29.6276, 0, 0, 0.95294, -41.1052, 0.95294, 138.895
11, 1500.00000, 250.526, -29.6173, 0, 0, 0.940898, -41.0951, 0.940898, 138.905
11, 1800.00000, 252.14, -29.609, 0, 0, 0.133554, -41.0873, 0.133554, 138.913
11, 2100.00000, 252.453, -29.6246, 0, 0, 0.133385, -41.1028, 0.133385, 138.897
11, 2400.00000, 252.217, -29.6054, 0, 0, 0.133514, -41.0841, 0.133514, 138.916
11, 2700.00000, 251.091, -29.6329, 0, 0, 0.134108, -41.1113, 0.134108, 138.889
11, 3000.00000, 241.355, -29.9081, 0, 0, 0.139518, -41.3865, 0.139518, 138.614
11, 3300.00000, 243.854, -29.8476, 0, 0, 0.138089, -41.3259, 0.138089, 138.674
12, 0.00000, 245.673, -29.6548, 0, 0, 0.137067, -41.1333, 0.137067, 138.867
12, 300.00000, 242.332, -29.7763, 0, 0, 0.138955, -41.2547, 0.138955, 138.745
12, 600.00000, 246.481, -29.6639, 0, 0, 0.136618, -41.142, 0.136618, 138.858
12, 900.00000, 249.462, -29.6072, 0, 0, 0.436045, -41.0853, 0.436045, 138.915
12, 1200.00000, 243.409, -29.8003, 0, 0, 0.909694, -41.2787, 0.909694, 138.721
12, 1500.00000, 243.583, -29.6923, 0, 0, 1.57258, -41.1709, 1.57258, 138.829
12, 1800.00000, 241.353, -29.6933, 0, 0, 1.75459, -41.1738, 1.75459, 138.826
12, 2100.00000, 243.289, -29.6268, 0, 0, 1.43191, -41.1051, 1.43191, 138.895
12, 2400.00000, 245.168, -29.6284, 0, 0, 0.961439, -41.1065, 0.961439, 138.893
12, 2700.00000, 252.11, -29.5399, 0, 0, 0.614451, -41.0173, 0.614451, 138.983
12, 3000.00000, 250.839, -29.6391, 0, 0, 0.134242, -41.1173, 0.134242, 138.883
12, 3300.00000, 242.054, -29.8457, 0, 0, 0.139115, -41.3242, 0.139115, 138.676
13, 0.00000, 240.888, -29.8716, 0, 0, 0.13979, -41.3503, 0.13979, 138.65
13, 300.00000, 246.6, -29.7257, 0, 0, 0.136553, -41.2039, 0.136553, 138.796
13, 600.00000, 254.374, -29.5573, 0, 0, 0.132377, -41.0357, 0.132377, 138.964
13, 900.00000, 253.197, -29.6019, 0, 0, 0.132991, -41.0802, 0.132991, 138.92
13, 1200.00000, 252.426, -29.753, 0, 0, 0.133398, -41.2309, 0.133398, 138.769
13, 1500.00000, 252.35, -29.7711, 0, 0, 0.133439, -41.2494, 0.133439, 138.751
13, 1800.00000, 252.059, -29.8112, 0, 0, 0.1336, -41.2883, 0.1336, 138.712
13, 2100.00000, 254.453, -29.8962, 0, 0, 0.132342, -41.3737, 0.132342, 138.626
13, 2400.00000, 253.787, -29.7256, 0, 0, 0.451122, -41.2048, 0.451122, 138.795
13, 2700.00000, 252.93, -29.6966, 0, 0, 0.931931, -41.1751, 0.931931, 138.825
13, 3000.00000, 249.415, -29.7856, 0, 0, 0.945048, -41.2641, 0.945048, 138.736
13, 3300.00000, 252.206, -29.6194, 0, 0, 0.934631, -41.0979, 0.934631, 138.902
14, 0.00000, 252.296, -29.6448, 0, 0, 0.934257, -41.1226, 0.934257, 138.877
14, 300.00000, 252.364, -29.6293, 0, 0, 0.133433, -41.1077, 0.133433, 138.892
14, 600.00000, 252.827, -29.6874, 0, 0, 0.133188, -41.1655, 0.133188, 138.835
14, 900.00000, 250.522, -29.6082, 0, 0, 0.733973, -41.0869, 0.733973, 138.913
14, 1200.00000, 248.736, -29.6207, 0, 0, 0.89021, -41.0991, 0.89021, 138.901
14, 1500.00000, 251.325, -29.4789, 0, 0, 0.881046, -40.9572, 0.881046, 139.043
14, 1800.00000, 251.207, -29.5527, 0, 0, 0.881453, -41.0308, 0.881453, 138.969
14, 2100.00000, 250.044, -29.7692, 0, 0, 0.284845, -41.2472, 0.284845, 138.753
14, 2400.00000, 250.732, -29.6079, 0, 0, 0.1343, -41.0864, 0.1343, 138.914
14, 2700.00000, 249.616, -29.7324, 0, 0, 0.134902, -41.2107, 0.134902, 138.789
14, 3000.00000, 248.095, -29.8251, 0, 0, 0.135727, -41.3033, 0.135727, 138.697
14, 3300.00000, 246.271, -29.9552, 0, 0, 0.136732, -41.4335, 0.136732, 138.567
15, 0.00000, 248.078, -29.871, 0, 0, 0.135739, -41.3493, 0.135739, 138.651
15, 300.00000, 249.266, -29.8898, 0, 0, 0.135092, -41.3681, 0.135092, 138.632
15, 600.00000, 242.776, -29.9385, 0, 0, 0.970912, -41.4169, 0.970912, 138.583
15, 900.00000, 241.562, -29.8633, 0, 0, 0.975813, -41.3428, 0.975813, 138.657
15, 1200.00000, 241.496, -29.9602, 0, 0, 1.75354, -41.4381, 1.75354, 138.562
15, 1500.00000, 242.278, -29.8949, 0, 0, 1.74782, -41.3735, 1.74782, 138.627
15, 1800.00000, 246.292, -29.8119, 0, 0, 1.22719, -41.2901, 1.22719, 138.71
15, 2100.00000, 249.826, -29.9007, 0, 0, 0.886343, -41.3784, 0.886343, 138.622
15, 2400.00000, 247.069, -29.9363, 0, 0, 0.13629, -41.4147, 0.13629, 138.585
15, 2700.00000, 244.307, -29.9953, 0, 0, 0.137832, -41.4737, 0.137832, 138.526
