hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 239.929, -29.9807, 0, 0, 0.18713, -41.459, 0.18713, 138.541
0, 600.00000, 240.052, -30.0269, 0, 0, 0.187035, -41.505, 0.187035, 138.495
0, 900.00000, 240.14, -30.0025, 0, 0, 0.186966, -41.481, 0.186966, 138.519
0, 1200.00000, 240.053, -29.9952, 0, 0, 0.187033, -41.4736, 0.187033, 138.526
0, 1500.00000, 239.847, -29.9936, 0, 0, 0.582851, -41.4719, 0.582851, 138.528
0, 1800.00000, 239.765, -29.9859, 0, 0, 0.583054, -41.4643, 0.583054, 138.536
0, 2100.00000, 239.774, -30.0054, 0, 0, 0.583032, -41.4836, 0.583032, 138.516
0, 2400.00000, 239.771, -30.0124, 0, 0, 0.424726, -41.4907, 0.424726, 138.509
0, 2700.00000, 239.567, -29.9863, 0, 0, 0.187412, -41.4648, 0.187412, 138.535
0, 3000.00000, 239.746, -30.014, 0, 0, 0.187274, -41.4921, 0.187274, 138.508
0, 3300.00000, 239.765, -29.9947, 0, 0, 0.187258, -41.4731, 0.187258, 138.527
1, 0.00000, 239.873, -29.9975, 0, 0, 0.187174, -41.4759, 0.187174, 138.524
1, 300.00000, 239.956, -29.9719, 0, 0, 0.187109, -41.4504, 0.187109, 138.55
1, 600.00000, 239.935, -29.9901, 0, 0, 0.187125, -41.4684, 0.187125, 138.532
1, 900.00000, 239.833, -29.9898, 0, 0, 0.187205, -41.4682, 0.187205, 138.532
1, 1200.00000, 240.421, -29.8454, 0, 0, 0.186747, -41.3238, 0.186747, 138.676
1, 1500.00000, 239.75, -29.9868, 0, 0, 0.187264, -41.4641, 0.187264, 138.536
1, 1800.00000, 239.682, -29.9754, 0, 0, 0.187323, -41.4538, 0.187323, 138.546
1, 2100.00000, 239.597, -29.964, 0, 0, 1.01361, -41.4423, 1.01361, 138.558
1, 2400.00000, 239.532, -29.9498, 0, 0, 1.01388, -41.4282, 1.01388, 138.572
1, 2700.00000, 239.634, -29.9437, 0, 0, 1.01345, -41.4221, 1.01345, 138.578
1, 3000.00000, 239.702, -29.9433, 0, 0, 1.01317, -41.4217, 1.01317, 138.578
1, 3300.00000, 239.679, -29.9315, 0, 0, 0.517699, -41.4099, 0.517699, 138.59
2, 0.00000, 239.641, -29.9448, 0, 0, 0.187355, -41.4231, 0.187355, 138.577
2, 300.00000, 239.614, -29.9879, 0, 0, 0.187376, -41.4661, 0.187376, 138.534
2, 600.00000, 239.762, -29.988, 0, 0, 0.187261, -41.4663, 0.187261, 138.534
2, 900.00000, 239.743, -29.9818, 0, 0, 0.187275, -41.4602, 0.187275, 138.54
2, 1200.00000, 239.705, -29.9833, 0, 0, 0.187304, -41.4617, 0.187304, 138.538
2, 1500.00000, 239.779, -29.985, 0, 0, 0.187247, -41.4633, 0.187247, 138.537
2, 1800.00000, 239.874, -30.0558, 0, 0, 0.187174, -41.5336, 0.187174, 138.466
2, 2100.00000, 239.668, -29.9879, 0, 0, 0.187333, -41.4664, 0.187333, 138.534
2, 2400.00000, 239.675, -29.9888, 0, 0, 0.187328, -41.4672, 0.187328, 138.533
2, 2700.00000, 239.796, -29.9785, 0, 0, 0.187234, -41.4569, 0.187234, 138.543
2, 3000.00000, 239.571, -29.9734, 0, 0, 1.01371, -41.4518, 1.01371, 138.548
2, 3300.00000, 239.421, -29.9587, 0, 0, 1.01435, -41.437, 1.01435, 138.563
3, 0.00000, 239.402, -29.9568, 0, 0, 1.33155, -41.4351, 1.33155, 138.565
3, 300.00000, 239.359, -29.9788, 0, 0, 1.41108, -41.4571, 1.41108, 138.543
3, 600.00000, 239.349, -29.9821, 0, 0, 0.914894, -41.4604, 0.914894, 138.54
3, 900.00000, 239.637, -29.9845, 0, 0, 0.504166, -41.4628, 0.504166, 138.537
3, 1200.00000, 239.808, -29.9942, 0, 0, 0.187225, -41.4725, 0.187225, 138.527
3, 1500.00000, 239.838, -29.9822, 0, 0, 0.187201, -41.4606, 0.187201, 138.539
3, 1800.00000, 239.664, -29.989, 0, 0, 0.187336, -41.4673, 0.187336, 138.533
3, 2100.00000, 239.556, -30.0101, 0, 0, 0.187421, -41.4884, 0.187421, 138.512
3, 2400.00000, 239.561, -29.9981, 0, 0, 0.187418, -41.4764, 0.187418, 138.524
3, 2700.00000, 239.635, -29.9913, 0, 0, 0.18736, -41.4697, 0.18736, 138.53
3, 3000.00000, 239.771, -29.9906, 0, 0, 0.187254, -41.4689, 0.187254, 138.531
3, 3300.00000, 239.748, -29.9814, 0, 0, 0.187272, -41.4598, 0.187272, 138.54
4, 0.00000, 239.763, -29.982, 0, 0, 0.187259, -41.4603, 0.187259, 138.54
4, 300.00000, 239.519, -29.9946, 0, 0, 0.504408, -41.4729, 0.504408, 138.527
4, 600.00000, 239.465, -29.9856, 0, 0, 1.41045, -41.4639, 1.41045, 138.536
4, 900.00000, 239.572, -29.9888, 0, 0, 1.40983, -41.4672, 1.40983, 138.533
4, 1200.00000, 239.602, -29.9788, 0, 0, 1.33044, -41.4572, 1.33044, 138.543
4, 1500.00000, 239.771, -29.9802, 0, 0, 1.01288, -41.4585, 1.01288, 138.541
4, 1800.00000, 239.773, -29.9729, 0, 0, 0.517496, -41.4512, 0.517496, 138.549
4, 2100.00000, 239.702, -29.9676, 0, 0, 0.187307, -41.4459, 0.187307, 138.554
4, 2400.00000, 239.907, -29.9552, 0, 0, 0.187148, -41.4335, 0.187148, 138.566
4, 2700.00000, 239.991, -29.9514, 0, 0, 0.187082, -41.4297, 0.187082, 138.57
4, 3000.00000, 239.98, -29.96, 0, 0, 0.187091, -41.4383, 0.187091, 138.562
4, 3300.00000, 240.147, -29.9671, 0, 0, 0.186961, -41.4454, 0.186961, 138.555
5, 0.00000, 240.201, -29.9581, 0, 0, 0.186919, -41.4365, 0.186919, 138.564
5, 300.00000, 240.098, -29.9713, 0, 0, 0.186998, -41.4496, 0.186998, 138.55
5, 600.00000, 240.27, -29.9694, 0, 0, 0.186864, -41.4477, 0.186864, 138.552
5, 900.00000, 240.369, -29.9647, 0, 0, 0.186788, -41.443, 0.186788, 138.557
5, 1200.00000, 240.413, -29.9784, 0, 0, 0.581482, -41.4567, 0.581482, 138.543
5, 1500.00000, 240.552, -29.9804, 0, 0, 0.581146, -41.4587, 0.581146, 138.541
5, 1800.00000, 240.704, -29.9681, 0, 0, 0.580779, -41.4465, 0.580779, 138.554
5, 2100.00000, 241.201, -29.9569, 0, 0, 0.422205, -41.4351, 0.422205, 138.565
5, 2400.00000, 241.283, -29.9414, 0, 0, 0.18608, -41.4198, 0.18608, 138.58
5, 2700.00000, 240.612, -29.941, 0, 0, 0.680237, -41.4195, 0.680237, 138.58
5, 3000.00000, 240.904, -29.972, 0, 0, 1.00811, -41.45, 1.00811, 138.55
5, 3300.00000, 240.809, -29.9143, 0, 0, 1.0085, -41.3931, 1.0085, 138.607
6, 0.00000, 240.142, -29.912, 0, 0, 1.01129, -41.391, 1.01129, 138.609
6, 300.00000, 240.936, -29.9238, 0, 0, 0.843645, -41.4021, 0.843645, 138.598
6, 600.00000, 240.883, -29.8725, 0, 0, 0.186387, -41.3512, 0.186387, 138.649
6, 900.00000, 242.913, -29.8369, 0, 0, 0.184832, -41.3152, 0.184832, 138.685
6, 1200.00000, 243.003, -29.8851, 0, 0, 0.18476, -41.3618, 0.18476, 138.638
6, 1500.00000, 243.514, -29.9069, 0, 0, 0.184368, -41.3841, 0.184368, 138.616
6, 1800.00000, 243.889, -29.9892, 0, 0, 0.184089, -41.4661, 0.184089, 138.534
6, 2100.00000, 242.424, -30.0257, 0, 0, 0.185214, -41.5046, 0.185214, 138.495
6, 2400.00000, 241.901, -30.0392, 0, 0, 0.185608, -41.5188, 0.185608, 138.481
6, 2700.00000, 242.368, -29.9993, 0, 0, 0.185246, -41.4792, 0.185246, 138.521
6, 3000.00000, 241.2, -29.8827, 0, 0, 0.186146, -41.3627, 0.186146, 138.637
6, 3300.00000, 240.119, -29.9178, 0, 0, 0.186981, -41.3967, 0.186981, 138.603
7, 0.00000, 242.252, -29.841, 0, 0, 0.185321, -41.3174, 0.185321, 138.683
7, 300.00000, 243.198, -29.8217, 0, 0, 0.184607, -41.2995, 0.184607, 138.7
7, 600.00000, 241.984, -29.7517, 0, 0, 0.342416, -41.232, 0.342416, 138.768
7, 900.00000, 243.517, -29.8166, 0, 0, 0.736655, -41.2949, 0.736655, 138.705
7, 1200.00000, 244.798, -29.6793, 0, 0, 1.37974, -41.1578, 1.37974, 138.842
7, 1500.00000, 245.327, -29.8723, 0, 0, 1.37675, -41.3504, 1.37675, 138.65
7, 1800.00000, 246.04, -29.9003, 0, 0, 1.0642, -41.3785, 1.0642, 138.621
7, 2100.00000, 247.004, -29.8894, 0, 0, 0.983219, -41.3677, 0.983219, 138.632
7, 2400.00000, 247.283, -30.0635, 0, 0, 0.341671, -41.5414, 0.341671, 138.459
7, 2700.00000, 244.587, -29.9749, 0, 0, 0.183566, -41.4535, 0.183566, 138.546
7, 3000.00000, 238.049, -29.8538, 0, 0, 0.188607, -41.3323, 0.188607, 138.668
7, 3300.00000, 243.564, -29.6653, 0, 0, 0.184339, -41.1435, 0.184339, 138.857
8, 0.00000, 246.866, -29.7326, 0, 0, 0.181875, -41.2107, 0.181875, 138.789
8, 300.00000, 247.658, -29.9651, 0, 0, 0.181291, -41.443, 0.181291, 138.557
8, 600.00000, 247.854, -29.7598, 0, 0, 0.181147, -41.2385, 0.181147, 138.762
8, 900.00000, 245.833, -29.6617, 0, 0, 0.182634, -41.1403, 0.182634, 138.86
8, 1200.00000, 242.584, -29.6385, 0, 0, 0.18508, -41.117, 0.18508, 138.883
8, 1500.00000, 244.09, -29.7099, 0, 0, 0.67055, -41.1881, 0.67055, 138.812
8, 1800.00000, 246.311, -29.6481, 0, 0, 0.985982, -41.1264, 0.985982, 138.874
8, 2100.00000, 242.196, -29.8825, 0, 0, 1.00273, -41.3608, 1.00273, 138.639
8, 2400.00000, 239.49, -29.9351, 0, 0, 1.41031, -41.4134, 1.41031, 138.587
8, 2700.00000, 244.974, -29.6775, 0, 0, 2.66503, -41.1559, 2.66503, 138.844
8, 3000.00000, 248.092, -29.5566, 0, 0, 3.4229, -41.035, 3.4229, 138.965
8, 3300.00000, 249.86, -29.678, 0, 0, 0.621582, -41.1559, 0.621582, 138.844
9, 0.00000, 250.053, -29.7552, 0, 0, 0.714137, -41.2333, 0.714137, 138.767
9, 300.00000, 249.838, -29.7, 0, 0, 0.760489, -41.1785, 0.760489, 138.822
9, 600.00000, 248.378, -29.636, 0, 0, 0.776454, -41.1146, 0.776454, 138.885
9, 900.00000, 249.664, -29.6808, 0, 0, 0.772478, -41.1589, 0.772478, 138.841
9, 1200.00000, 250.493, -29.5823, 0, 0, 0.769919, -41.0609, 0.769919, 138.939
9, 1500.00000, 249.928, -29.6843, 0, 0, 0.771643, -41.1623, 0.771643, 138.838
9, 1800.00000, 250.648, -29.806, 0, 0, 0.769444, -41.2841, 0.769444, 138.716
9, 2100.00000, 249.158, -29.445, 0, 0, 0.180195, -40.9242, 0.180195, 139.076
9, 2400.00000, 248.504, -29.5265, 0, 0, 0.180672, -41.0047, 0.180672, 138.995
9, 2700.00000, 248.159, -29.5684, 0, 0, 0.180923, -41.0468, 0.180923, 138.953
9, 3000.00000, 248.041, -29.6934, 0, 0, 0.18101, -41.1714, 0.18101, 138.829
9, 3300.00000, 250.382, -29.6627, 0, 0, 0.179322, -41.1409, 0.179322, 138.859
10, 0.00000, 245.179, -29.8104, 0, 0, 0.337944, -41.2888, 0.337944, 138.711
10, 300.00000, 246.882, -29.77, 0, 0, 0.566244, -41.2482, 0.566244, 138.752
10, 600.00000, 250.883, -29.7203, 0, 0, 0.557231, -41.1982, 0.557231, 138.802
10, 900.00000, 249.159, -29.7809, 0, 0, 0.561066, -41.2592, 0.561066, 138.741
10, 1200.00000, 246.539, -30.097, 0, 0, 0.259096, -41.575, 0.259096, 138.425
10, 1500.00000, 244.639, -30.1808, 0, 0, 0.183527, -41.6591, 0.183527, 138.341
10, 1800.00000, 252.037, -29.9175, 0, 0, 0.17814, -41.3959, 0.17814, 138.604
10, 2100.00000, 251.338, -29.8852, 0, 0, 0.178637, -41.3637, 0.178637, 138.636
10, 2400.00000, 246.897, -29.8632, 0, 0, 0.181847, -41.3419, 0.181847, 138.658
10, 2700.00000, 252.758, -29.675, 0, 0, 0.804237, -41.1532, 0.804237, 138.847
10, 3000.00000, 251.684, -29.7413, 0, 0, 0.964915, -41.2196, 0.964915, 138.78
10, 3300.00000, 250.756, -29.7598, 0, 0, 0.968494, -41.2382, 0.968494, 138.762
11, 0.00000, 252.948, -29.6964, 0, 0, 1.3353, -41.1746, 1.3353, 138.825
11, 300.00000, 248.418, -29.7947, 0, 0, 1.04085, -41.2733, 1.04085, 138.727
11, 600.00000, 240.954, -29.9044, 0, 0, 0.580176, -41.3828, 0.580176, 138.617
11, 900.00000, 239.966, -29.8907, 0, 0, 0.424368, -41.37, 0.424368, 138.63
11, 1200.00000, 248.952, -29.7422, 0, 0, 0.180356, -41.2198, 0.180356, 138.78
11, 1500.00000, 251.966, -29.7316, 0, 0, 0.178195, -41.2094, 0.178195, 138.791
11, 1800.00000, 253.09, -29.7208, 0, 0, 0.177404, -41.199, 0.177404, 138.801
11, 2100.00000, 253.42, -29.7354, 0, 0, 0.177168, -41.2136, 0.177168, 138.786
11, 2400.00000, 253.168, -29.715, 0, 0, 0.17735, -41.1938, 0.17735, 138.806
11, 2700.00000, 251.719, -29.7331, 0, 0, 0.178364, -41.2115, 0.178364, 138.789
11, 3000.00000, 242.529, -29.9466, 0, 0, 0.185124, -41.425, 0.185124, 138.575
11, 3300.00000, 245.101, -29.8931, 0, 0, 0.183182, -41.3714, 0.183182, 138.629
12, 0.00000, 246.864, -29.7223, 0, 0, 0.983773, -41.2008, 0.983773, 138.799
12, 300.00000, 243.624, -29.8313, 0, 0, 0.996848, -41.3096, 0.996848, 138.69
12, 600.00000, 247.678, -29.7355, 0, 0, 0.980545, -41.2136, 0.980545, 138.786
12, 900.00000, 249.634, -29.6692, 0, 0, 0.972865, -41.1474, 0.972865, 138.853
12, 1200.00000, 243.63, -29.8235, 0, 0, 0.509302, -41.302, 0.509302, 138.698
12, 1500.00000, 243.614, -29.7045, 0, 0, 0.184297, -41.1834, 0.184297, 138.817
12, 1800.00000, 242.305, -29.7249, 0, 0, 0.185302, -41.2049, 0.185302, 138.795
12, 2100.00000, 244.039, -29.6864, 0, 0, 0.183979, -41.1647, 0.183979, 138.835
12, 2400.00000, 245.858, -29.6944, 0, 0, 0.182617, -41.1725, 0.182617, 138.827
