hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 240.072, 89.9759, 0, 0, 0.208271, 78.4975, 0.208271, -101.502
0, 600.00000, 239.679, 89.9587, 0, 0, 0.208611, 78.4804, 0.208611, -101.52
0, 900.00000, 239.772, 89.9384, 0, 0, 0.208532, 78.4602, 0.208532, -101.54
0, 1200.00000, 239.806, 89.949, 0, 0, 0.208502, 78.4706, 0.208502, -101.529
0, 1500.00000, 239.868, 89.9709, 0, 0, 0.208448, 78.4925, 0.208448, -101.507
0, 1800.00000, 239.896, 89.9678, 0, 0, 0.208424, 78.4894, 0.208424, -101.511
0, 2100.00000, 239.757, 89.9714, 0, 0, 0.208544, 78.4931, 0.208544, -101.507
0, 2400.00000, 239.658, 89.9524, 0, 0, 0.20863, 78.4742, 0.20863, -101.526
0, 2700.00000, 239.962, 89.9827, 0, 0, 0.208368, 78.5043, 0.208368, -101.496
0, 3000.00000, 239.714, 89.9768, 0, 0, 0.20858, 78.4985, 0.20858, -101.502
0, 3300.00000, 239.825, 89.972, 0, 0, 0.208486, 78.4937, 0.208486, -101.506
1, 0.00000, 239.755, 89.9641, 0, 0, 0.673306, 78.4858, 0.673306, -101.514
1, 300.00000, 239.89, 89.9578, 0, 0, 1.42413, 78.4795, 1.42413, -101.521
1, 600.00000, 239.792, 89.9627, 0, 0, 1.71918, 78.4844, 1.71918, -101.516
1, 900.00000, 239.77, 89.9653, 0, 0, 1.71933, 78.4869, 1.71933, -101.513
1, 1200.00000, 239.937, 89.8389, 0, 0, 1.56333, 78.3606, 1.56333, -101.639
1, 1500.00000, 239.828, 89.9661, 0, 0, 0.502907, 78.4868, 0.502907, -101.513
1, 1800.00000, 239.923, 89.9671, 0, 0, 0.208401, 78.4888, 0.208401, -101.511
1, 2100.00000, 240.012, 89.9684, 0, 0, 0.208323, 78.49, 0.208323, -101.51
1, 2400.00000, 240.058, 89.9623, 0, 0, 0.208284, 78.484, 0.208284, -101.516
1, 2700.00000, 240.076, 89.9542, 0, 0, 0.208267, 78.4759, 0.208267, -101.524
1, 3000.00000, 240.035, 89.9502, 0, 0, 0.208303, 78.4719, 0.208303, -101.528
1, 3300.00000, 240.095, 89.9504, 0, 0, 0.208251, 78.472, 0.208251, -101.528
2, 0.00000, 240.121, 89.9681, 0, 0, 0.208229, 78.4897, 0.208229, -101.51
2, 300.00000, 240, 89.9909, 0, 0, 0.208333, 78.5124, 0.208333, -101.488
2, 600.00000, 239.959, 89.9824, 0, 0, 0.672734, 78.5041, 0.672734, -101.496
2, 900.00000, 239.99, 89.9833, 0, 0, 0.982186, 78.505, 0.982186, -101.495
2, 1200.00000, 239.956, 89.9845, 0, 0, 0.982322, 78.5061, 0.982322, -101.494
2, 1500.00000, 239.922, 89.9812, 0, 0, 0.982462, 78.5028, 0.982462, -101.497
2, 1800.00000, 239.661, 89.9824, 0, 0, 0.828542, 78.5041, 0.828542, -101.496
2, 2100.00000, 240.018, 89.9917, 0, 0, 0.208319, 78.5133, 0.208319, -101.487
2, 2400.00000, 240.005, 89.9897, 0, 0, 0.649646, 78.5114, 0.649646, -101.489
2, 2700.00000, 240.022, 89.9779, 0, 0, 0.943789, 78.4996, 0.943789, -101.5
2, 3000.00000, 240.062, 89.983, 0, 0, 0.943635, 78.5047, 0.943635, -101.495
2, 3300.00000, 240.136, 89.9867, 0, 0, 0.943342, 78.5084, 0.943342, -101.492
3, 0.00000, 240.166, 89.9875, 0, 0, 0.502203, 78.5092, 0.502203, -101.491
3, 300.00000, 240.122, 90.0056, 0, 0, 0.208227, 78.5272, 0.208227, -101.473
3, 600.00000, 240.123, 90.0087, 0, 0, 0.208226, 78.5304, 0.208226, -101.47
3, 900.00000, 240.046, 89.9968, 0, 0, 0.517757, 78.5186, 0.517757, -101.481
3, 1200.00000, 239.936, 89.9901, 0, 0, 0.982405, 78.5117, 0.982405, -101.488
3, 1500.00000, 239.969, 89.9862, 0, 0, 0.98227, 78.5079, 0.98227, -101.492
3, 1800.00000, 239.973, 89.9978, 0, 0, 0.982253, 78.5194, 0.982253, -101.481
3, 2100.00000, 239.94, 90.0113, 0, 0, 0.982389, 78.5329, 0.982389, -101.467
3, 2400.00000, 240.012, 90.0042, 0, 0, 0.208323, 78.5258, 0.208323, -101.474
3, 2700.00000, 240.03, 90.0014, 0, 0, 0.208308, 78.5231, 0.208308, -101.477
3, 3000.00000, 239.991, 89.9933, 0, 0, 0.208341, 78.515, 0.208341, -101.485
3, 3300.00000, 239.941, 89.9841, 0, 0, 0.208384, 78.5059, 0.208384, -101.494
4, 0.00000, 239.967, 89.9885, 0, 0, 0.208362, 78.5102, 0.208362, -101.49
4, 300.00000, 240.037, 90.014, 0, 0, 0.208301, 78.5356, 0.208301, -101.464
4, 600.00000, 240.097, 90.016, 0, 0, 0.502348, 78.5376, 0.502348, -101.462
4, 900.00000, 240.134, 90.0175, 0, 0, 0.943352, 78.5391, 0.943352, -101.461
4, 1200.00000, 240.177, 90.0111, 0, 0, 0.943184, 78.5328, 0.943184, -101.467
4, 1500.00000, 240.12, 90.0021, 0, 0, 0.943403, 78.5238, 0.943403, -101.476
4, 1800.00000, 240.145, 90.0002, 0, 0, 0.649267, 78.5219, 0.649267, -101.478
4, 2100.00000, 240.195, 90.0074, 0, 0, 0.672073, 78.529, 0.672073, -101.471
