hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 240.003, -29.9845, 0, 0, 0.187073, -41.4628, 0.187073, 138.537
0, 600.00000, 240.111, -30.0304, 0, 0, 0.186989, -41.5085, 0.186989, 138.492
0, 900.00000, 240.185, -30.0065, 0, 0, 0.186931, -41.485, 0.186931, 138.515
0, 1200.00000, 240.101, -30.003, 0, 0, 0.186996, -41.4813, 0.186996, 138.519
0, 1500.00000, 239.948, -30.0027, 0, 0, 0.187114, -41.4811, 0.187114, 138.519
0, 1800.00000, 239.885, -29.9955, 0, 0, 0.187164, -41.4739, 0.187164, 138.526
0, 2100.00000, 239.901, -30.015, 0, 0, 0.187152, -41.4932, 0.187152, 138.507
0, 2400.00000, 239.926, -30.0191, 0, 0, 0.187133, -41.4974, 0.187133, 138.503
0, 2700.00000, 239.709, -29.9919, 0, 0, 0.187301, -41.4703, 0.187301, 138.53
0, 3000.00000, 239.86, -30.0213, 0, 0, 0.187184, -41.4994, 0.187184, 138.501
0, 3300.00000, 239.877, -30.0026, 0, 0, 0.187171, -41.481, 0.187171, 138.519
1, 0.00000, 239.954, -30.0046, 0, 0, 0.187111, -41.483, 0.187111, 138.517
1, 300.00000, 239.992, -29.9779, 0, 0, 0.187081, -41.4564, 0.187081, 138.544
1, 600.00000, 239.984, -29.994, 0, 0, 0.187087, -41.4722, 0.187087, 138.528
1, 900.00000, 239.899, -29.9957, 0, 0, 0.187153, -41.4741, 0.187153, 138.526
1, 1200.00000, 240.496, -29.8521, 0, 0, 0.186689, -41.3305, 0.186689, 138.67
1, 1500.00000, 239.892, -29.9955, 0, 0, 0.187154, -41.4729, 0.187154, 138.527
1, 1800.00000, 239.812, -29.9841, 0, 0, 0.187221, -41.4625, 0.187221, 138.537
1, 2100.00000, 239.783, -29.9721, 0, 0, 0.187244, -41.4505, 0.187244, 138.55
1, 2400.00000, 239.726, -29.959, 0, 0, 0.534624, -41.4374, 0.534624, 138.563
1, 2700.00000, 239.752, -29.9512, 0, 0, 1.05552, -41.4296, 1.05552, 138.57
1, 3000.00000, 239.806, -29.9511, 0, 0, 1.05528, -41.4295, 1.05528, 138.57
1, 3300.00000, 239.798, -29.9429, 0, 0, 1.05531, -41.4213, 1.05531, 138.579
2, 0.00000, 239.735, -29.9553, 0, 0, 1.05558, -41.4336, 1.05558, 138.566
2, 300.00000, 239.733, -29.9966, 0, 0, 0.187283, -41.4748, 0.187283, 138.525
2, 600.00000, 239.833, -29.9955, 0, 0, 0.187205, -41.4738, 0.187205, 138.526
2, 900.00000, 239.813, -29.99, 0, 0, 0.187221, -41.4683, 0.187221, 138.532
2, 1200.00000, 239.765, -29.9927, 0, 0, 0.187258, -41.471, 0.187258, 138.529
2, 1500.00000, 239.811, -29.9938, 0, 0, 0.187222, -41.4721, 0.187222, 138.528
2, 1800.00000, 239.879, -30.034, 0, 0, 0.18717, -41.512, 0.18717, 138.488
2, 2100.00000, 239.73, -29.9939, 0, 0, 0.187285, -41.4723, 0.187285, 138.528
2, 2400.00000, 239.774, -29.9932, 0, 0, 0.187251, -41.4716, 0.187251, 138.528
2, 2700.00000, 239.88, -29.9825, 0, 0, 0.187169, -41.4609, 0.187169, 138.539
2, 3000.00000, 239.741, -29.9793, 0, 0, 0.187277, -41.4577, 0.187277, 138.542
2, 3300.00000, 239.616, -29.9697, 0, 0, 0.882363, -41.4481, 0.882363, 138.552
3, 0.00000, 239.598, -29.9677, 0, 0, 1.05619, -41.446, 1.05619, 138.554
3, 300.00000, 239.546, -29.9859, 0, 0, 1.05642, -41.4642, 1.05642, 138.536
3, 600.00000, 239.527, -29.9876, 0, 0, 1.0565, -41.4659, 1.0565, 138.534
3, 900.00000, 239.728, -29.9886, 0, 0, 0.708289, -41.467, 0.708289, 138.533
3, 1200.00000, 239.888, -29.9995, 0, 0, 0.187163, -41.4778, 0.187163, 138.522
3, 1500.00000, 239.899, -29.9914, 0, 0, 0.187154, -41.4698, 0.187154, 138.53
3, 1800.00000, 239.737, -29.9973, 0, 0, 0.18728, -41.4756, 0.18728, 138.524
3, 2100.00000, 239.649, -30.0145, 0, 0, 0.187348, -41.4928, 0.187348, 138.507
3, 2400.00000, 239.676, -30.003, 0, 0, 0.187328, -41.4813, 0.187328, 138.519
3, 2700.00000, 239.723, -29.9985, 0, 0, 0.187291, -41.4769, 0.187291, 138.523
3, 3000.00000, 239.837, -29.9976, 0, 0, 0.187202, -41.4759, 0.187202, 138.524
3, 3300.00000, 239.874, -29.9923, 0, 0, 0.187174, -41.4707, 0.187174, 138.529
4, 0.00000, 239.871, -29.993, 0, 0, 0.187176, -41.4713, 0.187176, 138.529
4, 300.00000, 239.648, -30.0006, 0, 0, 0.187348, -41.4789, 0.187348, 138.521
4, 600.00000, 239.626, -29.9908, 0, 0, 0.187366, -41.4691, 0.187366, 138.531
4, 900.00000, 239.678, -29.9901, 0, 0, 0.187327, -41.4685, 0.187327, 138.532
4, 1200.00000, 239.705, -29.9795, 0, 0, 0.187306, -41.4579, 0.187306, 138.542
4, 1500.00000, 239.898, -29.9836, 0, 0, 0.187155, -41.4619, 0.187155, 138.538
4, 1800.00000, 239.923, -29.9791, 0, 0, 0.187135, -41.4575, 0.187135, 138.543
4, 2100.00000, 239.855, -29.9739, 0, 0, 0.187188, -41.4522, 0.187188, 138.548
4, 2400.00000, 239.981, -29.9665, 0, 0, 0.18709, -41.4449, 0.18709, 138.555
4, 2700.00000, 240.045, -29.9637, 0, 0, 0.18704, -41.442, 0.18704, 138.558
4, 3000.00000, 240.005, -29.971, 0, 0, 0.187071, -41.4493, 0.187071, 138.551
4, 3300.00000, 240.126, -29.9761, 0, 0, 0.880493, -41.4544, 0.880493, 138.546
5, 0.00000, 240.182, -29.9653, 0, 0, 1.05362, -41.4437, 1.05362, 138.556
5, 300.00000, 240.123, -29.9739, 0, 0, 1.05388, -41.4522, 1.05388, 138.548
5, 600.00000, 240.259, -29.97, 0, 0, 1.05329, -41.4484, 1.05329, 138.552
5, 900.00000, 240.343, -29.9666, 0, 0, 0.706473, -41.445, 0.706473, 138.555
5, 1200.00000, 240.399, -29.9784, 0, 0, 0.186764, -41.4567, 0.186764, 138.543
5, 1500.00000, 240.492, -29.9799, 0, 0, 0.186692, -41.4582, 0.186692, 138.542
5, 1800.00000, 240.624, -29.9674, 0, 0, 0.18659, -41.4458, 0.18659, 138.554
5, 2100.00000, 241.048, -29.9518, 0, 0, 0.18626, -41.43, 0.18626, 138.57
5, 2400.00000, 241.114, -29.937, 0, 0, 0.18621, -41.4154, 0.18621, 138.585
5, 2700.00000, 240.637, -29.9428, 0, 0, 0.18658, -41.4213, 0.18658, 138.579
5, 3000.00000, 240.895, -29.9765, 0, 0, 0.18638, -41.4544, 0.18638, 138.546
5, 3300.00000, 240.734, -29.919, 0, 0, 0.186504, -41.3977, 0.186504, 138.602
