hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 240.072, 89.9759, 0, 0, 0.233774, 78.4976, 0.233774, -101.502
0, 600.00000, 239.678, 89.9587, 0, 0, 0.234155, 78.4804, 0.234155, -101.52
0, 900.00000, 239.771, 89.9385, 0, 0, 0.234067, 78.4602, 0.234067, -101.54
0, 1200.00000, 239.806, 89.949, 0, 0, 0.234033, 78.4707, 0.234033, -101.529
0, 1500.00000, 239.867, 89.971, 0, 0, 0.233973, 78.4925, 0.233973, -101.507
0, 1800.00000, 239.895, 89.9678, 0, 0, 0.233946, 78.4895, 0.233946, -101.511
0, 2100.00000, 239.756, 89.9715, 0, 0, 0.23408, 78.4931, 0.23408, -101.507
0, 2400.00000, 239.658, 89.9524, 0, 0, 0.234177, 78.4742, 0.234177, -101.526
0, 2700.00000, 239.961, 89.9828, 0, 0, 0.233883, 78.5043, 0.233883, -101.496
0, 3000.00000, 239.714, 89.9769, 0, 0, 0.234121, 78.4985, 0.234121, -101.501
0, 3300.00000, 239.825, 89.972, 0, 0, 0.234015, 78.4937, 0.234015, -101.506
1, 0.00000, 239.758, 89.964, 0, 0, 0.234079, 78.4857, 0.234079, -101.514
1, 300.00000, 239.899, 89.9575, 0, 0, 0.233942, 78.4792, 0.233942, -101.521
1, 600.00000, 239.803, 89.9624, 0, 0, 0.234035, 78.484, 0.234035, -101.516
1, 900.00000, 239.782, 89.965, 0, 0, 0.234056, 78.4866, 0.234056, -101.513
1, 1200.00000, 239.948, 89.8386, 0, 0, 0.233895, 78.3603, 0.233895, -101.64
1, 1500.00000, 239.83, 89.966, 0, 0, 0.234008, 78.4868, 0.234008, -101.513
1, 1800.00000, 239.922, 89.9671, 0, 0, 0.23392, 78.4888, 0.23392, -101.511
1, 2100.00000, 240.012, 89.9684, 0, 0, 0.233833, 78.4901, 0.233833, -101.51
1, 2400.00000, 240.057, 89.9623, 0, 0, 0.233788, 78.484, 0.233788, -101.516
1, 2700.00000, 240.076, 89.9542, 0, 0, 0.23377, 78.476, 0.23377, -101.524
1, 3000.00000, 240.034, 89.9502, 0, 0, 0.23381, 78.4719, 0.23381, -101.528
